#,Palavra,Pronúncia,Tradução,Contexto
2885,adventure,,aventura,
2886,external,,externo,
2887,proof,,prova,
2888,confident,,confiante,
2889,headquarters,,quartel general,
2890,sudden,,de repente,
2891,dirty,,sujo,
2892,violation,,violação,
2893,tongue,,língua,
2894,license,,licença,
2895,hold,,aguarde,
2896,shelter,,abrigo,
2897,to rub,,esfregar,
2898,controversy,,controvérsia,
2899,entrance,,entrada,
2900,favorite,,favorito,
2901,to practice,,praticar,
2902,properly,,devidamente,
2903,to fade,,desaparecer,
2904,defensive,,defensiva,
2905,tragedy,,tragédia,
2906,net,,internet,
2907,to characterize,,caracterizar,
2908,funeral,,funeral,
2909,profession,,profissão,
2910,to alter,,para alterar,
2911,to spot,,localizar,
2912,to constitute,,constituir,
2913,establishment,,estabelecimento,
2914,to squeeze,,espremer,
2915,imagination,,imaginação,
2916,to target,,marcar,
2917,mask,,mascarar,
2918,to convert,,converter,
2919,comprehensive,,compreensivo,
2920,prominent,,proeminente,
2921,presentation,,apresentação,
2922,regardless,,sem considerar,
2923,easy,,fácil,
2924,to load,,carregar,
2925,stable,,estável,
2926,introduction,,introdução,
2927,to appeal,,apelar,
2928,to pretend,,fingir,
2929,not,,não,
2930,elderly,,idoso,
2931,representation,,representação,
2932,deer,,cervo,
2933,to split,,dividir,
2934,to violate,,violar,
2935,partnership,,parceria,
2936,pollution,,poluição,
2937,emission,,emissão,
2938,steady,,estável,
2939,vital,,vital,
2940,neither,,"nem, nenhum",
2941,fate,,destino,
2942,earnings,,ganhos,
2943,oven,,forno,
2944,distinction,,distinção,
2945,segment,,segmento,
2946,nowhere,,lugar algum,
2947,poet,,poeta,
2948,mere,,mero,
2949,exciting,,excitante,
2950,variation,,variação,
2951,comfort,,conforto,
2952,radical,,radical,
2953,to stress,,estressar,
2954,to adapt,,para adaptar,
2955,Irish,,irlandês,
2956,honey,,querida,
2957,correspondent,,correspondente,
2958,pale,,pálido,
2959,musician,,músico,
2960,significance,,significado,
2961,load,,carregar,
2962,round,,redondo,
2963,vessel,,navio,
2964,storage,,armazenar,
2965,to flee,,fugir,
2966,mm-hmm,,mm-hmm,
2967,leather,,couro,
2968,to distribute,,distribuir,
2969,evolution,,evolução,
2970,ill,,doente,
2971,tribe,,tribo,
2972,shelf,,prateleira,
2973,can,,posso,
2974,grandfather,,Vô,
2975,lawn,,grama,
2976,buyer,,comprador,
2977,dining,,jantar,
2978,wisdom,,sabedoria,
2979,council,,conselho,
2980,vulnerable,,vulnerável,
2981,instance,,instância,
2982,garlic,,alho,
2983,capability,,capacidade,
2984,poetry,,poesia,
2985,celebrity,,celebridade,
2986,gradually,,gradualmente,
2987,stability,,estabilidade,
2988,to doubt,,duvidar,
2989,fantasy,,fantasia,
2990,scared,,assustada,
2991,to guide,,guiar,
2992,plot,,trama,
2993,framework,,estrutura,
2994,gesture,,gesto,
2995,depending,,dependendo,
2996,ongoing,,em progresso,
2997,psychology,,psicologia,
2998,since,,desde a,
2999,counselor,,conselheiro,
3000,to witness,,testemunhar,
3001,chapter,,capítulo,
3002,fellow,,amigo,
3003,divorce,,divórcio,
3004,to owe,,dever,
3005,pipe,,tubo,
3006,athletic,,atlético,
3007,slight,,"pouco, pequeno",
3008,math,,matemática,
3009,shade,,sombra,
3010,tail,,cauda,
3011,to sustain,,sustentar,
3012,to mount,,montar,
3013,obligation,,obrigação,
3014,angle,,ângulo,
3015,palm,,Palma,
3016,to differ,,diferir,
3017,custom,,personalizadas,
3018,to store,,armazenar,
3019,economist,,economista,
3020,fifteen,,quinze,
3021,soup,,sopa,
3022,celebration,,celebração,
3023,efficient,,eficiente,
3024,to damage,,danificar,
3025,composition,,composição,
3026,to satisfy,,satisfazer,
3027,pile,,pilha,
3028,briefly,,brevemente,
3029,carbon,,carbono,
3030,closer,,mais próximo,
3031,to consume,,consumir,
3032,scheme,,esquema,
3033,crack,,rachadura,
3034,frequency,,frequência,
3035,tobacco,,tabaco,
3036,survivor,,sobrevivente,
3037,besides,,além do mais,
3038,in,,"em, dentro",
3039,psychologist,,psicólogo,
3040,wealthy,,próspero,
3041,galaxy,,galáxia,
3042,given,,dado,
3043,to fund,,financiar,
3044,ski,,esqui,
3045,limitation,,limitação,
3046,OK,,ok,
3047,to trace,,rastrear,
3048,appointment,,compromisso,
3049,preference,,preferência,
3050,meter,,metro,
3051,explosion,,explosão,
3052,arrest,,prender prisão,
3053,publicly,,publicamente,
3054,incredible,,incrível,
3055,fighter,,lutador,
3056,rapid,,rápido,
3057,admission,,admissão,
3058,hunter,,caçador,
3059,to educate,,educar,
3060,painful,,doloroso,
3061,friendship,,amizade,
3062,aide,,auxiliar,
3063,infant,,infantil,
3064,to calculate,,calcular,
3065,fifty,,cinquenta,
3066,to rid,,livrar,
3067,porch,,alpendre,
3068,tendency,,tendência,
3069,uniform,,uniforme,
3070,formation,,formação,
3071,scholarship,,bolsa de estudos,
3072,reservation,,reserva,
3073,efficiency,,eficiência,
3074,to waste,,desperdiçar,
3075,to qualify,,qualificar,
3076,mall,,Shopping,
3077,to derive,,derivar,
3078,scandal,,escândalo,
3079,PC,,computador,
3080,helpful,,útil,
3081,to impress,,impressionar,
3082,heel,,salto,
3083,to resemble,,comparar,
3084,privacy,,privacidade,
3085,fabric,,tecido,
3086,to surprise,,para surpreender,
3087,contest,,concurso,
3088,proportion,,proporção,
3089,guideline,,diretriz,
3090,rifle,,rifle,
3091,maintenance,,manutenção,
3092,conviction,,convicção,
3093,trick,,truque,
3094,organic,,orgânico,
3095,tent,,tenda,
3096,examination,,exame,
3097,publisher,,editor,
3098,to strengthen,,fortalecer,
3099,French,,Francês,
3100,proposed,,proposto,
3101,myth,,mito,
3102,sophisticated,,sofisticado,
3103,cow,,vaca,
3104,etc,,etc,
3105,standing,,de pé,
3106,asleep,,dormindo,
3107,tennis,,tênis,
3108,nerve,,nervo,
3109,barrel,,barril,
3110,bombing,,bombardeio,
3111,membership,,filiação,
3112,ratio,,Razão,
3113,menu,,cardápio,
3114,purchase,,comprar,
3115,controversial,,controverso,
3116,desperate,,desesperado,
3117,to rate,,avaliar,
3118,lifestyle,,estilo de vida,
3119,humor,,humor,
3120,loud,,alto,
3121,glove,,luva,
3122,suspect,,suspeito,
3123,sufficient,,suficiente,
3124,narrative,,narrativa,
3125,photographer,,fotógrafo,
3126,helicopter,,helicóptero,
3127,Catholic,,católico,
3128,modest,,modesto,
3129,provider,,fornecedor,
3130,delay,,atraso,
3131,agricultural,,agrícola,
3132,to explode,,explodir,
3133,stroke,,derrame,
3134,scope,,alcance,
3135,punishment,,punição,
3136,handful,,punhado,
3137,badly,,seriamente,
3138,horizon,,horizonte,
3139,curious,,curioso,
3140,downtown,,centro da cidade,
3141,girlfriend,,Namorada,
3142,to prompt,,solicitar,
3143,to request,,para solicitar,
3144,cholesterol,,colesterol,
3145,to absorb,,absorver,
3146,adjustment,,ajustamento,
3147,taxpayer,,contribuinte,
3148,eager,,ansioso,
3149,principal,,diretor,
3150,detailed,,detalhado,
3151,motivation,,motivação,
3152,assignment,,tarefa,
3153,restriction,,restrição,
3154,across,,através,
3155,Palestinian,,palestino,
3156,laboratory,,laboratório,
3157,workshop,,oficina,
3158,differently,,diferentemente,
3159,auto,,auto,
3160,romantic,,romântico,
3161,cotton,,algodão,
3162,motor,,motor,
3163,to sue,,processar,
3164,flavor,,sabor,
3165,to overlook,,ignorar,
3166,to float,,flutuar,
3167,to undergo,,se submeter,
3168,sequence,,seqüência,
3169,demonstration,,demonstração,
3170,jet,,jato,
3171,orange,,laranja,
3172,consumption,,consumo,
3173,to assert,,afirmar,
3174,blade,,lâmina,
3175,temporary,,temporário,
3176,medication,,medicamento,
3177,to print,,imprimir,
3178,cabin,,cabine,
3179,to bite,,morder,
3180,relative,,relativo,
3181,edition,,edição,
3182,valley,,vale,
3183,yours,,"o teu, o seu, o de vocês",
3184,pitch,,tom,
3185,pine,,pinho,
3186,brilliant,,brilhante,
3187,versus,,versus,
3188,manufacturing,,fabricação,
3189,to risk,,arriscar,
3190,Christian,,cristão,
3191,complex,,complexo,
3192,absolute,,absoluto,
3193,chef,,chefe de cozinha,
3194,discrimination,,discriminação,
3195,offensive,,ofensiva,
3196,German,,Alemão,
3197,to suit,,para atender,
3198,boom,,estrondo,
3199,to register,,registrar,
3200,to appoint,,nomear,
3201,heritage,,herança,
3202,God,,Deus,
3203,terrorist,,terrorista,
3204,dominant,,dominante,
3205,successfully,,com sucesso,
3206,shit,,merda,
3207,lemon,,limão,
3208,hungry,,com fome,
3209,to sense,,sentir,
3210,to dry,,secar,
3211,to wander,,vagar,
3212,to submit,,submeter,
3213,economics,,economia,
3214,naked,,nu,
3215,to anticipate,,antecipar,
3216,nut,,noz,
3217,legacy,,legado,
3218,extension,,extensão,
3219,to shrug,,encolher os ombros,
3220,fly,,mosca,
3221,battery,,bateria,
3222,arrival,,chegada,
3223,legitimate,,legítimo,
3224,orientation,,orientação,
3225,inflation,,inflação,
3226,to cope,,lidar,
3227,flame,,chama,
3228,cluster,,cacho,
3229,to host,,hospedar,
3230,wound,,ferimento,
3231,dependent,,dependente,
3232,shower,,banho,
3233,institutional,,institucional,
3234,to depict,,para retratar,
3235,operating,,operativo,
3236,flesh,,carne,
3237,garage,,garagem,
3238,operator,,operador,
3239,instructor,,instrutor,
3240,to collapse,,desmoronar,
3241,to borrow,,emprestar,
3242,furthermore,,além do mais,
3243,comedy,,comédia,
3244,mortgage,,hipoteca,
3245,sanction,,sanção,
3246,civilian,,civil,
3247,twelve,,doze,
3248,weekly,,semanalmente,
3249,habitat,,habitat,
3250,grain,,grão,
3251,to brush,,escovar,
3252,consciousness,,consciência,
3253,to devote,,devotar,
3254,to crack,,rachar,
3255,measurement,,medição,
3256,province,,província,
3257,to ease,,facilitar,
3258,to seize,,aproveitar,
3259,ethics,,ética,
3260,nomination,,nomeação,
3261,permission,,permissão,
3262,wise,,sábio,
3263,actress,,atriz,
3264,summit,,cume,
3265,acid,,ácido,
3266,odds,,chances,
3267,gifted,,dotado,
3268,frustration,,frustração,
3269,medium,,médio,
3270,to function,,funcionar,
3271,physically,,fisicamente,
3272,grant,,conceder,
3273,to distinguish,,distinguir,
3274,shore,,costa,
3275,repeatedly,,repetidamente,
3276,lung,,pulmão,
3277,firm,,empresa,
3278,running,,encontro,
3279,to correct,,corrigir,
3280,distinct,,distinto,
3281,artistic,,artístico,
3282,discourse,,discurso,
3283,basket,,cesta,
3284,ah,,ah,
3285,fighting,,brigando,
3286,impressive,,impressionante,
3287,competitor,,concorrente,
3288,ugly,,feio,
3289,worried,,preocupado,
3290,to portray,,retratar,
3291,powder,,pó,
3292,ghost,,fantasma,
3293,to persuade,,persuadir,
3294,moderate,,moderado,
3295,subsequent,,subseqüente,
3296,continued,,contínuo,
3297,cookie,,biscoito,
3298,carrier,,operadora,
3299,cooking,,culinária,
3300,frequent,,freqüente,
3301,to ban,,banir,
3302,swing,,balanço,
3303,orange,,laranja,
3304,awful,,horrível,
3305,to admire,,admirar,
3306,pet,,bicho de estimação,
3307,miracle,,milagre,
3308,to exceed,,exceder,
3309,rhythm,,ritmo,
3310,widespread,,difundido,
3311,killing,,matando,
3312,lovely,,amável,
3313,sin,,pecado,
3314,charity,,caridade,
3315,script,,roteiro,
3316,tactic,,tática,
3317,identification,,identificação,
3318,transformation,,transformação,
3319,everyday,,todo dia,
3320,headline,,título,
3321,to crash,,bater,
3322,venture,,risco,
3323,invasion,,invasão,
3324,military,,militares,
3325,nonetheless,,não obstante,
3326,adequate,,adequado,
3327,piano,,piano,
3328,grocery,,mercado,
3329,intensity,,intensidade,
3330,to exhibit,,exibir,
3331,high,,alto,
3332,blanket,,cobertor,
3333,margin,,margem,
3334,principal,,diretor,
3335,quarterback,,quarterback,
3336,mouse,,mouse,
3337,rope,,corda,
3338,concrete,,concreto,
3339,prescription,,prescrição,
3340,African-American,,afro-americano,
3341,to chase,,perseguir,
3342,to document,,documentar,
3343,brick,,tijolo,
3344,to recruit,,recrutar,
3345,patch,,correção,
3346,consensus,,consenso,
3347,horror,,horror,
3348,recording,,gravação,
3349,changing,,mudando,
3350,painter,,pintor,
3351,colonial,,colonial,
3352,pie,,torta,
3353,sake,,interesse,
3354,gaze,,olhar,
3355,courage,,coragem,
3356,pregnancy,,gravidez,
3357,to swear,,jurar,
3358,to defeat,,derrotar,
3359,clue,,dica,
3360,to reinforce,,reforçar,
3361,win,,vencer,
3362,confusion,,confusão,
3363,slice,,fatiar,
3364,occupation,,ocupação,
3365,dear,,querida,
3366,coal,,carvão,
3367,sacred,,sagrado,
3368,criminal,,criminoso,
3369,formula,,fórmula,
3370,cognitive,,cognitivo,
3371,collective,,coletivo,
3372,exact,,exato,
3373,uncle,,tio,
3374,square,,quadrado,
3375,captain,,capitão,
3376,to sigh,,suspirar,
3377,to attribute,,atribuir,
3378,to dare,,desafiar,
3379,okay,,ok,
3380,homeless,,sem teto,
3381,to cool,,legal,
3382,gallery,,galeria,
3383,soccer,,futebol,
3384,defendant,,réu,
3385,tunnel,,túnel,
3386,fitness,,condição física,
3387,lap,,colo,
3388,grave,,cova,
3389,toe,,dedo do pé,
3390,container,,recipiente,
3391,virtue,,virtude,
3392,abroad,,fora do país,
3393,architect,,arquiteto,
3394,dramatically,,dramaticamente,
3395,makeup,,maquiagem,
3396,inquiry,,investigação,
3397,rose,,rosa,
3398,surprisingly,,surpreendentemente,
3399,to highlight,,para realçar,
3400,to decrease,,diminuir,
3401,indication,,indicação,
3402,rail,,trilho,
3403,anniversary,,aniversário,
3404,couch,,sofá,
3405,alliance,,aliança,
3406,hypothesis,,hipótese,
3407,boyfriend,,namorado,
3408,to compose,,compor,
3409,to peer,,espiar,
3410,mess,,bagunça,
3411,to rank,,classificar,
3412,legend,,lenda,
3413,to regulate,,regular,
3414,adolescent,,adolescente,
3415,to shine,,brilhar,
3416,norm,,norma,
3417,to upset,,chatear,
3418,remark,,observação,
3419,to resign,,resignar,
3420,reward,,recompensa,
3421,gentle,,□ gentil,
3422,related,,relacionado,
3423,organ,,órgão,
3424,lightly,,levemente,
3425,concerning,,"relativo, com respeito a",
3426,to invent,,inventar,
3427,laughter,,risada,
3428,fit,,em forma,
3429,northwest,,noroeste,
3430,counseling,,aconselhamento,
3431,tight,,apertado,
3432,receiver,,receptor,
3433,ritual,,ritual,
3434,insect,,inseto,
3435,to interrupt,,interromper,
3436,salmon,,salmão,
3437,favor,,favor,
3438,trading,,negociação,
3439,to concern,,preocupar,
3440,magic,,magia,
3441,superior,,superior,
3442,combat,,combate,
3443,stem,,tronco,
3444,surgeon,,cirurgião,
3445,acceptable,,aceitável,
3446,physics,,física,
3447,rape,,estupro,
3448,counsel,,conselho,
3449,brush,,escovar,
3450,jeans,,jeans,
3451,to hunt,,caçar,
3452,continuous,,contínuo,
3453,log,,registro,
3454,to echo,,a ecoar,
3455,pill,,comprimido,
3456,excited,,excitado,
3457,sculpture,,escultura,
3458,compound,,composto,
3459,to integrate,,integrar,
3460,flour,,farinha de trigo,
3461,bitter,,amargo,
3462,bare,,nu,
3463,slope,,inclinação,
3464,to rent,,alugar,
3465,presidency,,presidência,
3466,serving,,servindo,
3467,subtle,,sutil,
3468,greatly,,muito,
3469,bishop,,bispo,
3470,drinking,,bebendo,
3471,to delay,,atrasar,
3472,cry,,choro,
3473,acceptance,,aceitação,
3474,collapse,,colapso,
3475,to shop,,comprar,
3476,pump,,bombear,
3477,candy,,doce,
3478,evil,,mal,
3479,final,,final,
3480,to finance,,financiar,
3481,pleased,,satisfeito,
3482,medal,,medalha,
3483,to beg,,implorar,
3484,to sponsor,,patrocinar,
3485,ethical,,ético,
3486,secondary,,secundário,
3487,to slam,,bater,
3488,export,,exportar,
3489,experimental,,experimental,
3490,to melt,,derreter,
3491,midnight,,meia-noite,
3492,net,,internet,
3493,curve,,curva,
3494,integrity,,integridade,
3495,to entitle,,dar direito,
3496,evident,,evidente,
3497,logic,,lógica,
3498,essence,,essência,
3499,to park,,estacionar,
3500,to exclude,,excluir,
3501,harsh,,severo,
3502,closet,,armário,
3503,suburban,,suburbano,
3504,to greet,,cumprimentar,
3505,favor,,favor,
3506,interior,,interior,
3507,corridor,,corredor,
3508,to murder,,assassinar,
3509,retail,,retalho,
3510,pitcher,,jarro,
3511,to march,,para março,
3512,snake,,cobra,
3513,to pitch,,lançar,
3514,to excuse,,desculpar,
3515,cross,,cruz,
3516,weakness,,fraqueza,
3517,pig,,porco,
3518,cold,,frio,
3519,classical,,clássico,
3520,estimated,,estimado,
3521,T-shirt,,camiseta,
3522,online,,conectados,
3523,unemployment,,desemprego,
3524,civilization,,civilização,
3525,to fold,,dobrar,
3526,patient,,paciente,
3527,pop,,estourar,
3528,daily,,diário,
3529,to reverse,,reverter,
3530,missing,,ausente,
3531,correlation,,correlação,
3532,humanity,,humanidade,
3533,to flash,,a piscar,
3534,developer,,desenvolvedor,
3535,reliable,,confiável,
3536,excitement,,excitação,
3537,beef,,carne de gado,
3538,Islam,,islamismo,
3539,Roman,,romano,
3540,stretch,,esticar,
3541,architecture,,arquitetura,
3542,occasional,,ocasional,
3543,administrative,,administrativo,
3544,elbow,,cotovelo,
3545,deadly,,mortal,
3546,Muslim,,muçulmano,
3547,Hispanic,,hispânico,
3548,allegation,,alegação,
3549,to tip,,dar gorjeta,
3550,to confuse,,confundir,
3551,airplane,,avião,
3552,monthly,,por mês,
3553,duck,,pato,
3554,dose,,dose,
3555,Korean,,coreano,
3556,to plead,,suplicar,
3557,to initiate,,iniciar,
3558,lecture,,palestra,
3559,van,,furgão,
3560,sixth,,sexto,
3561,bay,,baía,
3562,mainstream,,convencional,
3563,suburb,,subúrbio,
3564,sandwich,,sanduíche,
3565,unlike,,diferente,
3566,trunk,,porta malas,
3567,rumor,,rumor,
3568,implementation,,implementação,
3569,to swallow,,engolir,
3570,to motivate,,motivar,
3571,to render,,renderizar,
3572,longtime,,muito tempo,
3573,to trap,,prender,
3574,to restrict,,restringir,
3575,cloth,,pano,
3576,seemingly,,aparentemente,
3577,legislative,,legislativo,
3578,effectiveness,,eficácia,
3579,to enforce,,reforçar,
3580,lens,,lente,
3581,reach,,alcançar,
3582,inspector,,inspetor,
3583,to lend,,emprestar,
3584,plain,,avião,
3585,fraud,,fraude,
3586,companion,,companheiro,
3587,to contend,,disputar,
3588,nail,,unha,
3589,array,,variedade,
3590,strict,,estrito,
3591,to assemble,,para montar,
3592,frankly,,francamente,
3593,rat,,ratazana,
3594,to burst,,estourar,
3595,hallway,,corredor,
3596,cave,,caverna,
3597,inevitable,,inevitável,
3598,southwest,,sudoeste,
3599,monster,,monstro,
3600,to speed,,acelerar,
3601,to protest,,protestar,
3602,unexpected,,inesperado,
3603,obstacle,,obstáculo,
3604,to facilitate,,facilitar,
3605,encounter,,encontro,
3606,to rip,,rasgar,
3607,herb,,erva,
3608,overwhelming,,muito pesado,
3609,integration,,integração,
3610,crystal,,cristal,
3611,recession,,recessão,
3612,wish,,desejo,
3613,to top,,para cima,
3614,written,,escrito,
3615,motive,,motivo,
3616,to label,,para rotular,
3617,flood,,inundar,
3618,pen,,caneta,
3619,ownership,,propriedade,
3620,nightmare,,pesadelo,
3621,notice,,perceber,
3622,inspection,,inspeção,
3623,supervisor,,supervisor,
3624,to consult,,consultar,
3625,arena,,arena,
3626,laugh,,riso,
3627,diagnosis,,diagnóstico,
3628,possession,,posse,
3629,to forgive,,perdoar,
3630,to warm,,aquecer,
3631,consistently,,consistentemente,
3632,basement,,porão,
3633,to project,,projetar,
3634,to drift,,à deriva,
3635,to drain,,drenar,
3636,last,,último,
3637,prosecution,,acusação,
3638,maximum,,máximo,
3639,announcement,,anúncio,
3640,warrior,,guerreiro,
3641,prediction,,predição,
3642,bacteria,,bactérias,
3643,questionnaire,,questionário,
3644,mud,,lama,
3645,infrastructure,,a infraestrutura,
3646,to hurry,,apressar,
3647,privilege,,privilégio,
3648,temple,,têmpora,
3649,medium,,médio,
3650,outdoor,,exterior,
3651,to suck,,chupar,
3652,and/or,,e/ou,
3653,broadcast,,transmissão,
3654,re,,ré,
3655,to leap,,saltar,
3656,random,,aleatória,
3657,past,,passado,
3658,wrist,,pulso,
3659,curtain,,cortina,
3660,monitor,,monitor,
3661,pond,,lago,
3662,domain,,domínio,
3663,guilt,,culpa,
3664,cattle,,gado,
3665,subject,,sujeito,
3666,walking,,andando,
3667,playoff,,pague,
3668,minimum,,mínimo,
3669,fiscal,,fiscal,
3670,skirt,,saia,
3671,to dump,,despejar,
3672,hence,,conseqüentemente,
3673,database,,base de dados,
3674,uncomfortable,,desconfortável,
3675,aim,,mirar,
3676,to execute,,executar,
3677,limb,,membro,
3678,ideology,,ideologia,
3679,to average,,a média,
3680,welcome,,receber,
3681,to tune,,sintonizar,
3682,continuing,,continuando,
3683,harm,,ferir,
3684,railroad,,ferrovia,
3685,to endure,,aguentar,
3686,radiation,,radiação,
3687,horn,,chifre,
3688,chronic,,crônica,
3689,peaceful,,pacífico,
3690,innovation,,inovação,
3691,strain,,cepa,
3692,guitar,,guitarra,
3693,replacement,,substituição,
3694,to behave,,comportar-se,
3695,to administer,,administrar,
3696,simultaneously,,simultaneamente,
3697,dancer,,dançarino,
3698,amendment,,alteração,
3699,to guard,,guardar,
3700,pad,,almofada,
3701,transmission,,transmissão,
3702,to await,,esperar,
3703,retired,,aposentado,
3704,to trigger,,acionar,
3705,to spill,,derramar,
3706,grateful,,grato,
3707,grace,,graça,
3708,virtual,,virtual,
3709,response,,resposta,
3710,colony,,colônia,
3711,adoption,,adoção,
3712,slide,,slide,
3713,indigenous,,indígena,
3714,closed,,fechado,
3715,to convict,,para convencer,
3716,civilian,,civil,
3717,towel,,toalha,
3718,to modify,,para modificar,
3719,particle,,partícula,
3720,to award,,premiar,
3721,glance,,olhar,
3722,prize,,prêmio,
3723,landing,,pousar,
3724,conduct,,conduta,
3725,blue,,azul,
3726,to boost,,impulsionar,
3727,bat,,bastão,
3728,alarm,,alarme,
3729,festival,,festival,
3730,grip,,firmeza,
3731,weird,,estranhas,
3732,to undermine,,minar,
3733,freshman,,calouro,
3734,sweat,,suor,
3735,outer,,exterior,
3736,European,,europeu,
3737,drunk,,bêbado,
3738,to survey,,pesquisar,
3739,to research,,pesquisar,
3740,separation,,separação,
3741,traditionally,,tradicionalmente,
3742,to stuff,,encher,
3743,to govern,,governar,
3744,southeast,,sudeste,
3745,intelligent,,inteligente,
3746,wherever,,onde quer que,
3747,ballot,,cédula,
3748,rhetoric,,retórica,
3749,convinced,,convencido,
3750,driving,,dirigindo,
3751,vitamin,,vitamina,
3752,enthusiasm,,entusiasmo,
3753,to accommodate,,acomodar,
3754,to praise,,dar elogios,
3755,to injure,,ferir,
3756,wilderness,,região selvagem,
3757,nearby,,próximo,
3758,endless,,sem fim,
3759,mandate,,mandato,
3760,pause,,pausa,
3761,excuse,,com licença,
3762,respectively,,respectivamente,
3763,uncertainty,,incerteza,
3764,chaos,,caos,
3765,short,,baixo,
3766,mechanical,,mecânico,
3767,canvas,,tela,
3768,forty,,quarenta,
3769,matter,,matéria,
3770,lobby,,salão,
3771,profound,,profundo,
3772,format,,formato,
3773,trait,,característica,
3774,currency,,moeda,
3775,turkey,,turquia,
3776,reserve,,reserva,
3777,beam,,feixe,
3778,to abuse,,abusar,
3779,astronomer,,astrônomo,
3780,corruption,,corrupção,
3781,contractor,,contratante,
3782,to apologize,,desculpar-se,
3783,doctrine,,doutrina,
3784,genuine,,genuíno,
3785,thumb,,polegar,
3786,unity,,unidade,
3787,compromise,,compromisso,
3788,horrible,,horrível,
3789,behavioral,,comportamental,
3790,exclusive,,exclusivo,
3791,to scatter,,espalhar,
3792,commonly,,comumente,
3793,to convey,,transmitir,
3794,rush,,pressa,
3795,to twist,,torcer,
3796,complexity,,complexidade,
3797,fork,,garfo,
3798,disk,,disco,
3799,to relieve,,aliviar,
3800,suspicion,,suspeita,
3801,lock,,trancar,
3802,finish,,finalizar,
3803,residence,,residência,
3804,shame,,vergonha,
3805,meaningful,,significativo,
3806,sidewalk,,calçada,
3807,Olympics,,olimpíadas,
3808,technological,,tecnológica,
3809,signature,,assinatura,
3810,pleasant,,prazeroso,
3811,wow,,uau,
3812,to suspend,,suspender,
3813,rebel,,rebelde,
3814,frozen,,congeladas,
3815,to desire,,desejar,
3816,spouse,,cônjuge,
3817,fluid,,fluido,
3818,pension,,pensão,
3819,to resume,,retomar,
3820,theoretical,,teórico,
3821,sodium,,sódio,
3822,blow,,soprar,
3823,promotion,,promoção,
3824,delicate,,delicado,
3825,forehead,,testa,
3826,to rebuild,,reconstruir,
3827,to bounce,,saltar,
3828,electrical,,elétrico,
3829,hook,,gancho,
3830,detective,,detetive,
3831,traveler,,viajante,
3832,to click,,clicar,
3833,compensation,,compensação,
3834,to signal,,sinalizar,
3835,exit,,saída,
3836,attraction,,atração,
3837,to dedicate,,dedicar,
3838,altogether,,completamente,
3839,pickup,,escolher,
3840,to carve,,esculpir,
3841,needle,,agulha,
3842,belly,,barriga,
3843,to ship,,enviar,
3844,to scare,,assustar,
3845,portfolio,,portfólio,
3846,shuttle,,transporte,
3847,invisible,,invisível,
3848,timing,,cronometragem,
3849,engagement,,noivado,
3850,ankle,,tornozelo,
3851,transaction,,transação,
3852,to rescue,,para resgatar,
3853,counterpart,,contrapartida,
3854,historically,,historicamente,
3855,firmly,,firmemente,
3856,mild,,suave,
3857,rider,,cavaleiro,
3858,doll,,boneca,
3859,noon,,meio-dia,
3860,exhibit,,exibir,
3861,amid,,em meio a,
3862,identical,,idêntico,
3863,precise,,preciso,
3864,anxious,,ansioso,
3865,structural,,estrutural,
3866,residential,,residencial,
3867,loud,,alto,
3868,to diagnose,,diagnosticar,
3869,carbohydrate,,carboidrato,
3870,liberty,,liberdade,
3871,poster,,poster,
3872,theology,,teologia,
3873,nonprofit,,sem fins lucrativos,
3874,to crawl,,rastejar,
3875,oxygen,,oxigênio,
3876,handsome,,belo,
3877,magic,,magia,
3878,sum,,soma,
3879,provided,,desde que,
3880,businessman,,homem de negocios,
3881,promising,,promissor,
3882,conscious,,consciente,
3883,determination,,determinação,
3884,donor,,doador,
3885,hers,,o dela,
3886,pastor,,pastor,
3887,jazz,,jazz,
3888,opera,,ópera,
3889,Japanese,,japonês,
3890,bite,,mordida,
3891,to frame,,enquadrar,
3892,evil,,mal,
3893,hay,,feno,
3894,pit,,poço,
3895,to hug,,abraçar,
3896,wildlife,,animais selvagens,
3897,to punish,,punir,
3898,giant,,gigante,
3899,primary,,primário,
3900,equity,,capital próprio,
3901,wrong,,errado,
3902,doorway,,entrada,
3903,departure,,partida,
3904,elevator,,elevador,
3905,teenage,,adolescência,
3906,guidance,,orientação,
3907,happiness,,felicidade,
3908,statue,,estátua,
3909,pursuit,,perseguir,
3910,repair,,reparar,
3911,decent,,decente,
3912,gym,,academia,
3913,oral,,oral,
3914,clerk,,atendente,
3915,Israeli,,israelense,
3916,envelope,,envelope,
3917,reporting,,comunicando,
3918,destination,,destino,
3919,fist,,punho,
3920,to endorse,,endossar,
3921,exploration,,exploração,
3922,generous,,generoso,
3923,bath,,banho,
3924,rescue,,resgatar,
3925,thereby,,deste modo,
3926,overall,,no geral,
3927,indicator,,indicador,
3928,sunlight,,luz solar,
3929,feedback,,comentários,
3930,spectrum,,espectro,
3931,purple,,roxa,
3932,laser,,laser,
3933,bold,,negrito,
3934,reluctant,,relutante,
3935,starting,,iniciando,
3936,expertise,,perícia,
3937,practically,,praticamente,
3938,to program,,programar,
3939,to picture,,para retratar,
3940,tune,,afinação,
3941,eating,,comendo,
3942,to age,,envelhecer,
3943,to volunteer,,voluntariar,
3944,hint,,dica,
3945,sharply,,agudamente,
3946,parade,,parada,
3947,to advocate,,defender,
